@PRODUCTS,YOKOGAWA,CENTUM,,,,,,,
@ID,8480,,,,,,,,
@SHEET,1,TRENDGET,,,,,,,
@DATE,2020/10/27,13:28,,,,,,,
@Group Number,Pen Number,Acquisition Data,Span Change,Low limit,High limit,Data type,Hourly,Daily,Monthly
1,1,08PIC-1141.PV,0,,,Default,1,1,1
1,2,08PIC-1063.PV,0,,,Default,1,1,1
1,3,08TIC-1120.PV,0,,,Default,1,1,1
1,4,08FFIC-1111.PV,0,,,Default,1,1,1
1,5,08FIC-2036.PV,0,,,Default,1,1,1
1,6,08LIC-2033.PV,0,,,Default,1,1,1
1,7,08LIC-2041.PV,0,,,Default,1,1,1
1,8,08LIC-2031.PV,0,,,Default,1,1,1
2,1,08FIC-3405.PV,0,,,Default,1,1,1
2,2,08TIC-3407.PV,0,,,Default,1,1,1
2,3,08PIC-3409.PV,0,,,Default,1,1,1
2,4,08FIC-3398.PV,0,,,Default,1,1,1
2,5,08FIC-3387.PV,0,,,Default,1,1,1
2,6,08FIC-3382.PV,0,,,Default,1,1,1
2,7,08FIC-3383.PV,0,,,Default,1,1,1
2,8,08FIC-3384.PV,0,,,Default,1,1,1
3,1,08LIC-3489.PV,0,,,Default,1,1,1
3,2,08FIC-3496.PV,0,,,Default,1,1,1
3,3,08TIC-3488.PV,0,,,Default,1,1,1
3,4,08LIC-3517.PV,0,,,Default,1,1,1
3,5,08LIC-3508.PV,0,,,Default,1,1,1
3,6,08LIC-3520.PV,0,,,Default,1,1,1
3,7,08PIC-3521.PV,0,,,Default,1,1,1
3,8,08PIC-3523.PV,0,,,Default,1,1,1
4,1,08PIC-3525.PV,0,,,Default,1,1,1
4,2,08PIC-4627.PV,0,,,Default,1,1,1
4,3,08PIC-4302.PV,0,,,Default,1,1,1
4,4,08FIC-4025.PV,0,,,Default,1,1,1
4,5,08TIC-4032.PV,0,,,Default,1,1,1
4,6,08FIC-4212.PV,0,,,Default,1,1,1
4,7,08LIC-4227.PV,0,,,Default,1,1,1
4,8,08LIC-4208.PV,0,,,Default,1,1,1
5,1,08FIC-4278.PV,0,,,Default,1,1,1
5,2,08TIC-4269.PV,0,,,Default,1,1,1
5,3,08LIC-4264.PV,0,,,Default,1,1,1
5,4,08LIC-4383.PV,0,,,Default,1,1,1
5,5,08LIC-4385.PV,0,,,Default,1,1,1
5,6,08PIC-4382.PV,0,,,Default,1,1,1
5,7,08TIC-4223.PV,0,,,Default,1,1,1
5,8,08TIC-4784.PV,0,,,Default,1,1,1
6,1,08PIC-4650.PV,0,,,Default,1,1,1
6,2,08TIC-4639A.PV,0,,,Default,1,1,1
6,3,08TIC-4676A.PV,0,,,Default,1,1,1
