@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2029/07/18,00:00
@SHEET,1, 
@Terminal,Signal,Conversion,Service Comment,Low Limit,High Limit,Unit,Set Details,P&ID Tag Name,Label
%Z014101,1,1,#2炉给煤机A累积煤量脉冲,0,0,,1,6200-YQI-F-1201A,%%IYQIF1201A,PLFL=No,VTTSEL=12
%Z014102,1,1,#2炉给煤机B累积煤量脉冲,0,0,,1,6200-YQI-F-1201B,%%IYQIF1201B,PLFL=No,VTTSEL=12
%Z014103,1,1,#2炉给煤机C累积煤量脉冲,0,0,,1,6200-YQI-F-1201C,%%IYQIF1201C,PLFL=No,VTTSEL=12
%Z014104,1,1,#2炉给煤机D累积煤量脉冲,0,0,,1,6200-YQI-F-1201D,%%IYQIF1201D,PLFL=No,VTTSEL=12
%Z014105,1,1,AI spare,0,0,,1,F0104N1S4C5,,PLFL=No,VTTSEL=12
%Z014106,1,1,AI spare,0,0,,1,F0104N1S4C6,,PLFL=No,VTTSEL=12
%Z014107,1,1,AI spare,0,0,,1,F0104N1S4C7,,PLFL=No,VTTSEL=12
%Z014108,1,1,AI spare,0,0,,1,F0104N1S4C8,,PLFL=No,VTTSEL=12
