@PRODUCTS,YOKOGAWA,CENTUM,,
@ID,BKEEdtOgMsg,,,
@SHEET,1,Operator Guide Builder,,
@DATE,2019/12/31,23:44,,
@Element Number,Message,Color,Related Window Name,Label
%OG0001,20MKF11AP001XG01-A  定子冷却水泵A运行1  动作,W,,
%OG0002,20MKF11AP001XG02-A  定子冷却水泵A停止1  动作,W,,
%OG0003,20MKF11AP001XG04-A  定子冷却水泵A远方控制1  动作,W,,
%OG0004,20MKF61AP001XG01-A  转子冷却水泵A运行1  动作,W,,
%OG0005,20MKF61AP001XG02-A  转子冷却水泵A停止1  动作,W,,
%OG0006,20MKF61AP001XG04-A  转子冷却水泵A远方控制1  动作,W,,
%OG0007,20MKF12AP001XG01-A  定子冷却水泵B运行1  动作,W,,
%OG0008,20MKF12AP001XG02-A  定子冷却水泵B停止1  动作,W,,
%OG0009,20MKF12AP001XG04-A  定子冷却水泵B远方控制1  动作,W,,
%OG0010,20MKF62AP001XG01-A  转子冷却水泵B运行1  动作,W,,
%OG0011,20MKF62AP001XG02-A  转子冷却水泵B停止1  动作,W,,
%OG0012,20MKF62AP001XG04-A  转子冷却水泵B远方控制1  动作,W,,
%OG0013,20MKF11AP001XG01-B  定子冷却水泵A运行2  动作,W,,
%OG0014,20MKF11AP001XG02-B  定子冷却水泵A停止2  动作,W,,
%OG0015,20MKF11AP001XG04-B  定子冷却水泵A远方控制2  动作,W,,
%OG0016,20MKF61AP001XG01-B  转子冷却水泵A运行2  动作,W,,
%OG0017,20MKF61AP001XG02-B  转子冷却水泵A停止2  动作,W,,
%OG0018,20MKF61AP001XG04-B  转子冷却水泵A远方控制2  动作,W,,
%OG0019,20MKF12AP001XG01-B  定子冷却水泵B运行2  动作,W,,
%OG0020,20MKF12AP001XG02-B  定子冷却水泵B停止2  动作,W,,
%OG0021,20MKF12AP001XG04-B  定子冷却水泵B远方控制2  动作,W,,
%OG0022,20MKF62AP001XG01-B  转子冷却水泵B运行2  动作,W,,
%OG0023,20MKF62AP001XG02-B  转子冷却水泵B停止2  动作,W,,
%OG0024,20MKF62AP001XG04-B  转子冷却水泵B远方控制2  动作,W,,
%OG0025,20MKF26CBA00R001  加碱装置运行  动作,W,,
%OG0026,20GCK31AA002XG01  定子冷却水箱补水电动门全开  动作,W,,
%OG0027,20GCK31AA002XG02  定子冷却水箱补水电动门全关  动作,W,,
%OG0028,20GCK31AA002XG04  定子冷却水箱补水电动门远方控制方式  动作,W,,
%OG0029,20CDP11XG02  盘车装置运行  动作,W,,
%OG0030,20CDP11XG03  盘车装置拔销到位  动作,W,,
%OG0031,20CDP11XG04  盘车装置远控  动作,W,,
%OG0032,20CDP11XG08  盘车装置风机运行信号  动作,W,,
%OG0033,20MKF11AP001XG01-A  定子冷却水泵A运行1  返回,W,,
%OG0034,20MKF11AP001XG02-A  定子冷却水泵A停止1  返回,W,,
%OG0035,20MKF11AP001XG04-A  定子冷却水泵A远方控制1  返回,W,,
%OG0036,20MKF61AP001XG01-A  转子冷却水泵A运行1  返回,W,,
%OG0037,20MKF61AP001XG02-A  转子冷却水泵A停止1  返回,W,,
%OG0038,20MKF61AP001XG04-A  转子冷却水泵A远方控制1  返回,W,,
%OG0039,20MKF12AP001XG01-A  定子冷却水泵B运行1  返回,W,,
%OG0040,20MKF12AP001XG02-A  定子冷却水泵B停止1  返回,W,,
