@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,14:17
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z014101,1,SI,6200-MLO-11802C,6200MLO11802C,A塔循环浆液泵C入口门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z014102,1,SI,6200-MLC-11802C,6200MLC11802C,A塔循环浆液泵C入口门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z014103,1,SI,6200-MLA-11802C,6200MLA11802C,A塔循环浆液泵C入口门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z014104,1,SI,6200-MLO-11803C,6200MLO11803C,A塔循环浆液泵C排空门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z014105,1,SI,6200-MLC-11803C,6200MLC11803C,A塔循环浆液泵C排空门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z014106,1,SI,6200-MLA-11803C,6200MLA11803C,A塔循环浆液泵C排空门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z014107,1,SI,6200-MLO-11804C,6200MLO11804C,A塔循环浆液泵C冲洗门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z014108,1,SI,6200-MLC-11804C,6200MLC11804C,A塔循环浆液泵C冲洗门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z014109,1,SI,6200-MLA-11804C,6200MLA11804C,A塔循环浆液泵C冲洗门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z014110,1,SI,6200-MLO-11808A,6200MLO11808A,A塔管除冲洗电动门1已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z014111,1,SI,6200-MLC-11808A,6200MLC11808A,A塔管除冲洗电动门1已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z014112,1,SI,6200-MLA-11808A,6200MLA11808A,A塔管除冲洗电动门1故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z014113,1,SI,6200-MLO-11808B,6200MLO11808B,A塔管除冲洗电动门2已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z014114,1,SI,6200-MLC-11808B,6200MLC11808B,A塔管除冲洗电动门2已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z014115,1,SI,6200-MLA-11808B,6200MLA11808B,A塔管除冲洗电动门2故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z014116,1,SI,6200-MLO-11808C,6200MLO11808C,A塔管除冲洗电动门3已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z014117,1,SI,6200-MLC-11808C,6200MLC11808C,A塔管除冲洗电动门3已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z014118,1,SI,6200-MLA-11808C,6200MLA11808C,A塔管除冲洗电动门3故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z014119,1,SI,6200-MLO-11809,6200MLO11809,A塔补水电动门已开,"ON,,OFF,ON",1,R,R,4,2,,
%Z014120,1,SI,6200-MLC-11809,6200MLC11809,A塔补水电动门已关,"ON,,OFF,ON",1,R,R,4,2,,
%Z014121,1,SI,6200-MLA-11809,6200MLA11809,A塔补水电动门故障,"ON,,OFF,ON",1,R,R,4,2,,
%Z014122,1,SI,6200-PXD-302,6200PXD302,MAD-302机柜24V电源报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z014123,1,SI,6200-TXD-302,6200TXD302,MAD-302机柜温度报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z014124,1,SI,6200-PXR-301,6200PXR301,RTP-301机柜24V电源报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z014125,1,SI,6200-TXR-301,6200TXR301,RTP-301机柜温度报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z014126,1,SI,6200-PXR-302,6200PXR302,RTP-302机柜24V电源报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z014127,1,SI,6200-TXR-302,6200TXR302,RTP-302机柜温度报警,"ON,,OFF,ON",1,R,R,4,2,,
%Z014128,1,SI,F0115N1S4C28,F0115N1S4C28,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z014129,1,SI,F0115N1S4C29,F0115N1S4C29,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z014130,1,SI,F0115N1S4C30,F0115N1S4C30,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z014131,1,SI,F0115N1S4C31,F0115N1S4C31,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z014132,1,SI,F0115N1S4C32,F0115N1S4C32,DI spare,"ON,,OFF,ON",1,R,R,4,2,,
