@PRODUCTS,YOKOGAWA,CENTUM,,,,,,,,,
@ID,BKEEdtIOMDef,,,,,,,,,,
@DATE,2029/7/17,23:59,,,,,,,,,
@SHEET,1,Analog Data,,,,,,,,,
@Terminal,Signal,Conversion,Service Comment,Low Limit,High Limit,Unit,Set Details,P&ID Tag Name,Label,,
%Z011101,1,1,#1塔汽包内壁温度A指示,4,20,mA,1,6201-TI-12103A,%%ITI12103A,IOPE=Yes,SIOP=-6.3 106.3
%Z011102,1,1,#1塔汽包内壁温度C指示,4,20,mA,1,6201-TI-12103C,%%ITI12103C,IOPE=Yes,SIOP=-6.3 106.3
%Z011103,1,1,#1塔汽包外壁温度A指示,4,20,mA,1,6201-TI-12104A,%%ITI12104A,IOPE=Yes,SIOP=-6.3 106.3
%Z011104,1,1,#1塔汽包外壁温度B指示,4,20,mA,1,6201-TI-12104B,%%ITI12104B,IOPE=Yes,SIOP=-6.3 106.3
%Z011105,1,1,#1塔汽包外壁温度E指示,4,20,mA,1,6201-TI-12104E,%%ITI12104E,IOPE=Yes,SIOP=-6.3 106.3
%Z011106,1,1,#1塔汽包外壁温度F指示,4,20,mA,1,6201-TI-12104F,%%ITI12104F,IOPE=Yes,SIOP=-6.3 106.3
%Z011107,1,1,#1塔低过金属壁温A指示,4,20,mA,1,6201-TI-12111A,%%ITI12111A,IOPE=Yes,SIOP=-6.3 106.3
%Z011108,1,1,#1塔低过金属壁温B指示,4,20,mA,1,6201-TI-12111B,%%ITI12111B,IOPE=Yes,SIOP=-6.3 106.3
%Z011109,1,1,#1塔低过金属壁温C指示,4,20,mA,1,6201-TI-12111C,%%ITI12111C,IOPE=Yes,SIOP=-6.3 106.3
%Z011110,1,1,#1塔低过金属壁温D指示,4,20,mA,1,6201-TI-12111D,%%ITI12111D,IOPE=Yes,SIOP=-6.3 106.3
%Z011111,1,1,#1塔低过金属壁温E指示,4,20,mA,1,6201-TI-12111E,%%ITI12111E,IOPE=Yes,SIOP=-6.3 106.3
%Z011112,1,1,AI spare,4,20,mA,1,F0104N1S1C12,,IOPE=Yes,SIOP=-6.3 106.3
%Z011113,1,1,AI spare,4,20,mA,1,F0104N1S1C13,,IOPE=Yes,SIOP=-6.3 106.3
%Z011114,1,1,AI spare,4,20,mA,1,F0104N1S1C14,,IOPE=Yes,SIOP=-6.3 106.3
%Z011115,1,1,AI spare,4,20,mA,1,F0104N1S1C15,,IOPE=Yes,SIOP=-6.3 106.3
%Z011116,1,1,AI spare,4,20,mA,1,F0104N1S1C16,,IOPE=Yes,SIOP=-6.3 106.3
@SHEET,2,HART Variable,,,,,,,,,
@Terminal,Channel,Data,Polling Address,Service Comment,P&ID Tag Name,Label,,,,,
%Z011201,,,,,,,,,,,
%Z011202,,,,,,,,,,,
%Z011203,,,,,,,,,,,
%Z011204,,,,,,,,,,,
%Z011205,,,,,,,,,,,
%Z011206,,,,,,,,,,,
%Z011207,,,,,,,,,,,
%Z011208,,,,,,,,,,,
%Z011209,,,,,,,,,,,
%Z011210,,,,,,,,,,,
%Z011211,,,,,,,,,,,
%Z011212,,,,,,,,,,,
%Z011213,,,,,,,,,,,
%Z011214,,,,,,,,,,,
%Z011215,,,,,,,,,,,
%Z011216,,,,,,,,,,,
%Z011217,,,,,,,,,,,
%Z011218,,,,,,,,,,,
%Z011229,,,,,,,,,,,
%Z011220,,,,,,,,,,,
%Z011221,,,,,,,,,,,
%Z011222,,,,,,,,,,,
%Z011223,,,,,,,,,,,
%Z011224,,,,,,,,,,,
%Z011225,,,,,,,,,,,
%Z011226,,,,,,,,,,,
%Z011227,,,,,,,,,,,
%Z011228,,,,,,,,,,,
%Z011229,,,,,,,,,,,
%Z011230,,,,,,,,,,,
%Z011231,,,,,,,,,,,
%Z011232,,,,,,,,,,,
