@PRODUCTS,YOKOGAWA,CENTUM
@ID,BKEEdtIOMDef
@DATE,2020/04/21,09:15
@SHEET,1, 
@Terminal,Signal,Mode,P&ID Tag Name,Tag Name,Tag Comment,Switch Position Label,Label,Btn1,Btn2,Lvl,Tag Mark,Upper Window,Help
%Z034101,2,SO,6200-YSL-FV-14109,6200YSLFV14109,1#炉布袋2输灰运行灯1,"ON,,OFF,ON",1,R,R,4,2,,
%Z034102,2,SO,6200-XCO-11729,6200XCO11729,1#炉布袋2输灰进气阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z034103,2,SO,6200-XCO-11730,6200XCO11730,1#炉布袋2输灰补气阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z034104,2,SO,6200-YC-FV-14109,6200YCFV14109,1#炉布袋2输灰12#进料阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z034105,2,SO,6200-XCO-11731,6200XCO11731,1#炉布袋2输灰1#进料阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z034106,2,SO,6200-XCO-11732,6200XCO11732,1#炉布袋2输灰1#平衡阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z034107,2,SO,6200-XCO-11733,6200XCO11733,1#炉布袋2输灰2#进料阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z034108,2,SO,6200-YSL-FV-14111,6200YSLFV14111,1#炉布袋2输灰运行灯2,"ON,,OFF,ON",1,R,R,4,2,,
%Z034109,2,SO,6200-YC-FV-14111,6200YCFV14111,1#炉布袋2输灰34进料阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z034110,2,SO,6200-XCO-11734,6200XCO11734,1#炉布袋2输灰3#进料阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z034111,2,SO,6200-XCO-11735,6200XCO11735,1#炉布袋2输灰3#平衡阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z034112,2,SO,6200-XCO-11736,6200XCO11736,1#炉布袋2输灰4#进料阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z034113,2,SO,6200-XCO-11737,6200XCO11737,1#炉布袋2输灰出料阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z034114,2,SO,6200-XCO-11738,6200XCO11738,1#炉布袋2输灰排堵阀,"ON,,OFF,ON",1,R,R,4,2,,
%Z034115,2,SO,6200-YYO-11701,6200YYOXXXX,1#炉输灰程控运行,"ON,,OFF,ON",1,R,R,4,2,,
%Z034116,2,SO,6200-XCO-11739,6200XCO11739,1#炉电区切换阀1开,"ON,,OFF,ON",1,R,R,4,2,,
%Z034117,2,SO,6200-XCC-11739,6200XCC11739,1#炉电区切换阀1关,"ON,,OFF,ON",1,R,R,4,2,,
%Z034118,2,SO,6200-XCO-11740,6200XCO11740,1#炉电区切换阀2开,"ON,,OFF,ON",1,R,R,4,2,,
%Z034119,2,SO,6200-XCC-11740,6200XCC11740,1#炉电区切换阀2关,"ON,,OFF,ON",1,R,R,4,2,,
%Z034120,2,SO,6200-XCO-11741,6200XCO11741,1#炉袋区切换阀1开,"ON,,OFF,ON",1,R,R,4,2,,
%Z034121,2,SO,6200-XCC-11741,6200XCC11741,1#炉袋区切换阀1关,"ON,,OFF,ON",1,R,R,4,2,,
%Z034122,2,SO,6200-XCO-11742,6200XCO11742,1#炉袋区切换阀2开,"ON,,OFF,ON",1,R,R,4,2,,
%Z034123,2,SO,6200-XCC-11742,6200XCC11742,1#炉袋区切换阀2关,"ON,,OFF,ON",1,R,R,4,2,,
%Z034124,2,SO,F0112N3S4C24,F0112N3S4C24,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z034125,2,SO,F0112N3S4C25,F0112N3S4C25,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z034126,2,SO,F0112N3S4C26,F0112N3S4C26,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z034127,2,SO,F0112N3S4C27,F0112N3S4C27,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z034128,2,SO,F0112N3S4C28,F0112N3S4C28,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z034129,2,SO,F0112N3S4C29,F0112N3S4C29,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z034130,2,SO,F0112N3S4C30,F0112N3S4C30,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z034131,2,SO,F0112N3S4C31,F0112N3S4C31,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
%Z034132,2,SO,F0112N3S4C32,F0112N4S6C32,DO spare,"ON,,OFF,ON",1,R,R,4,2,,
