date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2020/10/9,sz.000063,33.66,33.94,33.26,33.38,33.1,39065713,1311277801,3,1.1238,1,0.8459,0
2020/10/12,sz.000063,34,34.88,33.89,34.86,33.38,72431358,2496698504,3,2.0836,1,4.4338,0
2020/10/13,sz.000063,35.3,36.3,35.15,35.74,34.86,72377309,2580653701,3,2.082,1,2.5244,0
2020/10/14,sz.000063,35.58,35.74,34.9,35.3,35.74,45141072,1591364955,3,1.2985,1,-1.2311,0
2020/10/15,sz.000063,35.3,35.6,34.72,34.76,35.3,33152055,1159637283,3,0.9536,1,-1.5297,0
2020/10/16,sz.000063,34.88,34.98,34.11,34.47,34.76,27783333,957168368.4,3,0.7992,1,-0.8343,0
2020/10/19,sz.000063,35,35.4,34.43,34.5,34.47,29462500,1027876663,3,0.8475,1,0.087,0
2020/10/20,sz.000063,34.49,34.85,34.03,34.84,34.5,20945234,722397288.6,3,0.6025,1,0.9855,0
2020/10/21,sz.000063,34.85,34.88,34.05,34.13,34.84,25841015,885650897.1,3,0.7433,1,-2.0379,0
2020/10/22,sz.000063,33.92,33.95,33.46,33.63,34.13,22372516,752402883.3,3,0.6436,1,-1.465,0
2020/10/23,sz.000063,33.49,33.88,33.36,33.43,33.63,18685100,626424296,3,0.5375,1,-0.5947,0
2020/10/26,sz.000063,33.25,33.77,33,33.49,33.43,18165197,606971854.9,3,0.5225,1,0.1795,0
2020/10/27,sz.000063,33.3,33.56,33.14,33.4,33.49,14468611,482427103.9,3,0.4162,1,-0.2687,0
2020/10/28,sz.000063,33.39,34.63,33.21,34.5,33.4,49334054,1683091649,3,1.4191,1,3.2934,0
2020/10/29,sz.000063,33.2,33.35,32.52,33.08,34.5,73888192,2441553771,3,2.1255,1,-4.1159,0
